sentence,tree,is_sent
Ihr Zuhause ist der Regenwald.,(S (NP (PPOSAT Ihr) (NN Zuhause)) (VAFIN ist) (NP (ART der) (NN Regenwald))) ($. .),True
Dort lebt sie im Wasser oder im Sumpf.,(S (ADV Dort) (VVFIN lebt) (PPER sie) (CPP (PP (APPRART im) (NN Wasser)) (KON oder) (PP (APPRART im) (NN Sumpf)))) ($. .),True
Eine Anakonda kann bis zu 9 Meter groß werden.,(S (NP (ART Eine) (NE Anakonda)) (VMFIN kann) (VP (AP (NP (AP (ADV bis) (ADV zu) (CARD 9)) (NN Meter)) (ADJD groß)) (VAINF werden))) ($. .),True
Diese Schlange kann bis zu 200 Kilogramm schwer werden.,(S (NP (PDAT Diese) (NN Schlange)) (VMFIN kann) (VP (AP (NP (AP (ADV bis) (ADV zu) (CARD 200)) (NN Kilogramm)) (ADJD schwer)) (VAINF werden))) ($. .),True
200 Kilogramm können 2 erwachsene Männer sein.,(S (NP (CARD 200) (NN Kilogramm)) (VMFIN können) (NP (CARD 2) (ADJA erwachsene) (NN Männer)) (VP (VAINF sein))) ($. .),True
Eine kleine Anakonda isst kleine Tiere oder Vögel.,(S (NP (ART Eine) (ADJA kleine) (NN Anakonda)) (VVFIN isst) (NP (ADJA kleine) (CNP (NN Tiere) (KON oder) (NN Vögel)))) ($. .),True
Eine große Anakonda isst Kaimane oder Raub-katzen.,(S (NP (ART Eine) (ADJA große) (NN Anakonda)) (VVFIN isst) (CNP (NN Kaimane) (KON oder) (NN Raub-katzen))) ($. .),True
Kaimane sind kleine Krokodile.,(S (NN Kaimane) (VAFIN sind) (NP (ADJA kleine) (NN Krokodile))) ($. .),True
Eine Anakonda isst am liebsten nachts.,(S (NP (ART Eine) (NE Anakonda)) (VVFIN isst) (AA (PTKA am) (ADJD liebsten)) (ADV nachts)) ($. .),True
In der Nacht geht sie auf Jagd.,(S (PP (APPR In) (ART der) (NN Nacht)) (VVFIN geht) (PPER sie) (PP (APPR auf) (NN Jagd))) ($. .),True
Sie liegt im Wasser und wartet da auf ihr Essen.,(CS (S (PPER Sie) (VVFIN liegt) (PP (APPRART im) (NN Wasser))) (KON und) (S (VVFIN wartet) (ADV da) (PP (APPR auf) (PPOSAT ihr) (NN Essen)))) ($. .),True
Sie muss ihr Essen erstmal fangen.,(S (PPER Sie) (VMFIN muss) (NP (PPOSAT ihr) (NN Essen)) (ADV erstmal) (VP (VVINF fangen))) ($. .),True
Ihr Essen nennt sich dann Beute oder Opfer.,(S (NP (PPOSAT Ihr) (NN Essen)) (VVFIN nennt) (PRF sich) (ADV dann) (CNP (NN Beute) (KON oder) (NN Opfer))) ($. .),True
Eine Anakonda umarmt ihr Opfer ganz fest.,(S (NP (ART Eine) (NN Anakonda)) (VVFIN umarmt) (NP (PPOSAT ihr) (NN Opfer)) (AP (ADV ganz) (ADJD fest))) ($. .),True
Die Umarmung ist sehr fest.,(S (NP (ART Die) (NN Umarmung)) (VAFIN ist) (AP (ADV sehr) (ADJD fest))) ($. .),True
Dann kann das Opfer nicht mehr atmen.,(S (ADV Dann) (VMFIN kann) (NP (ART das) (NN Opfer)) (AVP (PTKNEG nicht) (ADV mehr)) (VVINF atmen)) ($. .),True
Das Herz des Opfers hört dann auf zu schlagen.,(S (NP (ART Das) (NN Herz) (NP (ART des) (NN Opfers))) (VVFIN hört) (ADV dann) (PTKVZ auf) (VZ (PTKZU zu) (VVINF schlagen))) ($. .),True
Das Opfer stirbt.,(S (NP (ART Das) (NN Opfer)) (VVFIN stirbt)) ($. .),True
Dann kann die Anakonda ihr Opfer essen.,(S (ADV Dann) (VMFIN kann) (NP (ART die) (NE Anakonda)) (VP (NP (PPOSAT ihr) (NN Opfer)) (VVINF essen))) ($. .),True
Die Anakonda beisst nicht ab.,(S (NP (ART Die) (NE Anakonda)) (VVFIN beisst) (PTKNEG nicht) (PTKVZ ab)) ($. .),True
Die Anakonda schluckt das Opfer ganz runter.,(S (NP (ART Die) (NE Anakonda)) (VVFIN schluckt) (NP (ART das) (NN Opfer)) (AVP (ADV ganz) (ADV runter))) ($. .),True
Eine Anakonda spürt mit ihrer Haut jede Bewegung.,(S (NP (ART Eine) (NE Anakonda)) (VVFIN spürt) (PP (APPR mit) (PPOSAT ihrer) (NN Haut)) (NP (PIAT jede) (NN Bewegung))) ($. .),True
Im Wasser spürt sie das am besten.,(S (PP (APPRART Im) (NN Wasser)) (VVFIN spürt) (PPER sie) (PDS das) (AA (PTKA am) (ADJD besten))) ($. .),True
Eine Anakonda ist eine Schlange.,(S (NP (ART Eine) (NE Anakonda)) (VAFIN ist) (NP (ART eine) (NN Schlange))) ($. .),True
Eine Anakonda ist die größte Schlange der Welt.,(S (NP (ART Eine) (NE Anakonda)) (VAFIN ist) (NP (ART die) (ADJA größte) (NN Schlange) (NP (ART der) (NN Welt)))) ($. .),True
Eine Anakonda ist auch die schwerste Schlange der Welt.,(S (NP (ART Eine) (NN Anakonda)) (VAFIN ist) (NP (ADV auch) (ART die) (ADJA schwerste) (NN Schlange) (NP (ART der) (NN Welt)))) ($. .),True
Es gibt verschiedene Arten von Analphabeten.,(S (PPER Es) (VVFIN gibt) (NP (ADJA verschiedene) (NN Arten) (PP (APPR von) (NN Analphabeten)))) ($. .),True
Zum Beispiel: • Primärer Analphabet,(PP (APPRART Zum) (NN Beispiel)) ($. :) ($LRB •) (NP (ADJA Primärer) (NN Analphabet)),False
Dieser kann nicht schreiben und nicht lesen.,(S (PDS Dieser) (VMFIN kann) (CVP (VP (PTKNEG nicht) (VVINF schreiben)) (KON und) (VP (PTKNEG nicht) (VVINF lesen)))) ($. .),True
Er hat es nie gelernt.,(S (PPER Er) (VAFIN hat) (VP (PPER es) (ADV nie) (VVPP gelernt))) ($. .),True
Das gibt es oft in Entwicklungs-ländern.,(S (PDS Das) (VVFIN gibt) (PPER es) (ADV oft) (PP (APPR in) (NN Entwicklungs-ländern))) ($. .),True
 • Sekundärer Analphabet,(XY  ) (XY •) (NP (ADJA Sekundärer) (NN Analphabet)),False
Er hat es aber mal gelernt.,(S (PPER Er) (VAFIN hat) (VP (PPER es) (ADV aber) (ADV mal) (VVPP gelernt))) ($. .),True
Und dann wieder vergessen.,(S (KON Und) (VP (ADV dann) (ADV wieder) (VVPP vergessen))) ($. .),True
 • Semi-Analphabet,(XY  ) (XY •) (NN Semi-Analphabet),False
Er kann lesen.,(S (PPER Er) (VMFIN kann) (VVINF lesen)) ($. .),True
Er kann aber nicht schreiben.,(S (PPER Er) (VMFIN kann) (ADV aber) (PTKNEG nicht) (VVINF schreiben)) ($. .),True
 • funktionaler Analphabet,(XY  ) ($LRB •) (NP (ADJA funktionaler) (NN Analphabet)),False
Er kann ein bisschen lesen.,(S (PPER Er) (VMFIN kann) (VP (NP (ART ein) (PIS bisschen)) (VVINF lesen))) ($. .),True
Er kann ein bisschen schreiben.,(S (PPER Er) (VMFIN kann) (VP (NP (ART ein) (PIS bisschen)) (VVINF schreiben))) ($. .),True
Zum Beispiel seinen eigenen Namen.,(NP (PP (APPRART Zum) (NN Beispiel)) (PPOSAT seinen) (ADJA eigenen) (NN Namen)) ($. .),False
Er kann keine langen Texte lesen.,(S (PPER Er) (VMFIN kann) (VP (NP (PIAT keine) (ADJA langen) (NN Texte)) (VVINF lesen))) ($. .),True
Er kann keine langen Texte verstehen.,(S (PPER Er) (VMFIN kann) (VP (NP (PIAT keine) (ADJA langen) (NN Texte)) (VVINF verstehen))) ($. .),True
"In Deutschland gibt es ungefähr 7,5 Millionen funktionale Analphabeten.","(S (PP (APPR In) (NE Deutschland)) (VVFIN gibt) (PPER es) (NP (AP (ADJD ungefähr) (NM (CARD 7,5) (NN Millionen))) (ADJA funktionale) (NN Analphabeten))) ($. .)",True
Ein An-al-pha-bet ist eine Person.,(S (NP (ART Ein) (NN An-al-pha-bet)) (VAFIN ist) (NP (ART eine) (NN Person))) ($. .),True
Eine Person die nicht richtig lesen und schreiben kann.,(ART Eine) (NN Person) (S (PRELS die) (PTKNEG nicht) (CVP (VP (ADJD richtig) (VVINF lesen)) (KON und) (VP (VVINF schreiben))) (VMFIN kann)) ($. .),True
Das erste Gespräch zwischen Therapeut und Patient heißt: Anamnese.,(S (NP (ART Das) (ADJA erste) (NN Gespräch) (PP (APPR zwischen) (CNP (NN Therapeut) (KON und) (NN Patient)))) (VVFIN heißt)) ($. :) (NN Anamnese) ($. .),True
Der Patient erzählt von seinen Problemen.,(S (NP (ART Der) (NN Patient)) (VVFIN erzählt) (PP (APPR von) (PPOSAT seinen) (NN Problemen))) ($. .),True
Der Therapeut stellt dem Patienten viele Fragen.,(S (NP (ART Der) (NN Therapeut)) (VVFIN stellt) (NP (ART dem) (NN Patienten)) (NP (PIAT viele) (NN Fragen))) ($. .),True
Zum Beispiel Fragen über: • seine Familie,(S (PP (APPRART Zum) (NN Beispiel)) (NN Fragen) (APPR über)) ($. :) ($LRB •) (NP (PPOSAT seine) (NN Familie)),False
Zum Beispiel Fragen über: • seinen Beruf oder die Schule,(PP (APPRART Zum) (NN Beispiel)) (NN Fragen) (APPR über) ($. :) ($LRB •) (CNP (NP (PPOSAT seinen) (NN Beruf)) (KON oder) (NP (ART die) (NN Schule))),False
Zum Beispiel Fragen über: • seine Hobbys,(S (PP (APPRART Zum) (NN Beispiel)) (NN Fragen) (APPR über)) ($. :) ($LRB •) (NP (PP (NP (PPOSAT seine) (NN Hobbys)))),False
Zum Beispiel Fragen über: • andere Probleme oder Krankheiten,(S (PP (APPRART Zum) (NN Beispiel)) (NN Fragen) (APPR über)) ($. :) ($LRB •) (NP (ADJA andere) (CNP (NN Probleme) (KON oder) (NN Krankheiten))),False
Zum Beispiel Fragen über: • andere Therapien,(S (PP (APPRART Zum) (NN Beispiel)) (NN Fragen) (APPR über)) ($. :) ($LRB •) (NP (PP (ADJA andere) (NN Therapien))),False
So kann der Therapeut das Problem besser verstehen.,(S (ADV So) (VMFIN kann) (NP (ART der) (NN Therapeut)) (VP (NP (ART das) (NN Problem)) (ADJD besser) (VVINF verstehen))) ($. .),True
Dann kann der Therapeut dem Patienten besser helfen.,(S (ADV Dann) (VMFIN kann) (NP (ART der) (NN Therapeut)) (VP (NP (ART dem) (NN Patienten)) (ADJD besser) (VVINF helfen))) ($. .),True
Eine Anamnese ist eine Vor-geschichte.,(S (NP (ART Eine) (NN Anamnese)) (VAFIN ist) (NP (ART eine) (NN Vor-geschichte))) ($. .),True
Die Vor-geschichte von einem Menschen.,(NP (ART Die) (NN Vor-geschichte) (PP (APPR von) (ART einem) (NN Menschen))) ($. .),False
Im Anarchismus gibt es keine Regierung.,(S (PP (APPRART Im) (NN Anarchismus)) (VVFIN gibt) (PPER es) (NP (PIAT keine) (NN Regierung))) ($. .),True
Es gibt keine Könige oder Präsidenten.,(S (PPER Es) (VVFIN gibt) (NP (PIAT keine) (CNP (NN Könige) (KON oder) (NN Präsidenten)))) ($. .),True
Manchmal kann es aber Anführer geben.,(S (ADV Manchmal) (VMFIN kann) (PPER es) (ADV aber) (VP (NN Anführer) (VVINF geben))) ($. .),True
"Aber nur, \newline wenn alle Menschen in einer Gruppe das wollen.","(DL (S (KON Aber) (ADV nur))) ($, ,) (S (ADV \newline) (KOUS wenn) (NP (PIAT alle) (NN Menschen) (PP (APPR in) (ART einer) (NN Gruppe))) (PDS das) (VMFIN wollen)) ($. .)",True
Und nur für eine kurze Zeit.,(PP (KON Und) (ADV nur) (APPR für) (ART eine) (ADJA kurze) (NN Zeit)) ($. .),False
Zum Beispiel bis eine Aufgabe zu Ende ist.,(S (PP (APPRART Zum) (NN Beispiel)) (KOUS bis) (NP (ART eine) (NN Aufgabe)) (PP (APPR zu) (NN Ende)) (VAFIN ist)) ($. .),True
Beim Anarchismus organisieren alle das Leben zusammen.,(S (PP (APPRART Beim) (NN Anarchismus)) (VVFIN organisieren) (PIS alle) (NP (ART das) (NN Leben)) (PTKVZ zusammen)) ($. .),True
Alle Menschen bestimmen mit.,(S (NP (PIAT Alle) (NN Menschen)) (VVFIN bestimmen) (PTKVZ mit)) ($. .),True
Menschen im Anarchismus gründen kleine Gemeinschaften.,(S (NP (NN Menschen) (PP (APPRART im) (NN Anarchismus))) (VVFIN gründen) (NP (ADJA kleine) (NN Gemeinschaften))) ($. .),True
Und sie gründen kleine Gruppen.,(S (KON Und) (PPER sie) (VVFIN gründen) (NP (ADJA kleine) (NN Gruppen))) ($. .),True
Zum Beispiel wie in einer Familie.,(PP (PP (APPRART Zum) (NN Beispiel)) (KOKOM wie) (APPR in) (ART einer) (NN Familie)) ($. .),False
Die Gemeinschaften kümmern sich selber um ihre Sachen.,(S (NP (ART Die) (NN Gemeinschaften)) (VVFIN kümmern) (NP (PRF sich) (ADV selber)) (PP (APPR um) (PPOSAT ihre) (NN Sachen))) ($. .),True
Sie beraten was sie zu tun haben.,(S (PPER Sie) (VVFIN beraten) (S (PWS was) (PPER sie) (VP (VZ (PTKZU zu) (VVINF tun))) (VAFIN haben))) ($. .),True
Gemeinschaften können sich gegenseitig helfen.,(S (NN Gemeinschaften) (VMFIN können) (VP (PRF sich) (ADJD gegenseitig) (VVINF helfen))) ($. .),True
Jeder soll freiwillig in einer Gruppe mit-machen können.,(S (PIS Jeder) (VMFIN soll) (VP (VP (ADJD freiwillig) (PP (APPR in) (ART einer) (NN Gruppe)) (VVINF mit-machen)) (VMINF können))) ($. .),True
Die Menschen in der Gemeinschaft kümmern sich umeinander.,(S (NP (ART Die) (NN Menschen) (PP (APPR in) (ART der) (NN Gemeinschaft))) (VVFIN kümmern) (PRF sich) (ADV umeinander)) ($. .),True
Und sie helfen sich gegenseitig.,(S (KON Und) (PPER sie) (VVFIN helfen) (PRF sich) (ADJD gegenseitig)) ($. .),True
Menschen im Anarchismus geben gerne etwas von ihren eigenen Sachen ab.,(S (NP (NN Menschen) (PP (APPRART im) (NN Anarchismus))) (VVFIN geben) (ADV gerne) (NP (PIS etwas) (PP (APPR von) (PPOSAT ihren) (ADJA eigenen) (NN Sachen))) (PTKVZ ab)) ($. .),True
Sie teilen ihre Sachen mit anderen Menschen.,(S (PPER Sie) (VVFIN teilen) (NP (PPOSAT ihre) (NN Sachen)) (PP (APPR mit) (ADJA anderen) (NN Menschen))) ($. .),True
"Jemand der an den Anarchismus glaubt, \newline ist Anarchistisch.",(PIS Jemand) (NP (S (PRELS der) (PP (APPR an) (ART den) (NN Anarchismus)) (VVFIN glaubt))),True
"Eine Frau die an den Anarchismus glaubt, \newline ist eine Anarchistin.","(ART Eine) (NN Frau) (NP (S (PRELS die) (PP (APPR an) (ART den) (NN Anarchismus)) (VVFIN glaubt))) ($, ,) (S (NE \newline) (VAFIN ist) (NP (ART eine) (NN Anarchistin))) ($. .)",True
"Ein Mann der an den Anarchismus glaubt, \newline ist eine Anarchist.","(ART Ein) (NN Mann) (PRELS der) (PP (APPR an) (ART den) (NN Anarchismus)) (VVFIN glaubt) ($, ,) (S (NE \newline) (VAFIN ist) (NP (ART eine) (NN Anarchist))) ($. .)",True
Anarchismus hat es früher in vielen Ländern gegeben.,(S (NN Anarchismus) (VAFIN hat) (PPER es) (VP (ADJD früher) (PP (APPR in) (PIAT vielen) (NN Ländern)) (VVPP gegeben))) ($. .),True
Zum Beispiel in Spanien.,(PP (PP (APPRART Zum) (NN Beispiel)) (APPR in) (NE Spanien)) ($. .),False
Viele Menschen haben damals beim Anarchismus mitgemacht.,(S (NP (PIAT Viele) (NN Menschen)) (VAFIN haben) (VP (ADV damals) (PP (APPRART beim) (NN Anarchismus)) (VVPP mitgemacht))) ($. .),True
Das ist vom Jahr 1936 bis zum Jahr 1939 gewesen.,(S (PDS Das) (VAFIN ist) (VP (PP (APPRART vom) (NN Jahr) (CARD 1936)) (PP (APPR bis) (APPRART zum) (NN Jahr) (CARD 1939)) (VAPP gewesen))) ($. .),True
Anarchismus ist eine politische Idee.,(S (NN Anarchismus) (VAFIN ist) (NP (ART eine) (ADJA politische) (NN Idee))) ($. .),True
Es soll kein Mensch über einen anderen bestimmen.,(S (PPER Es) (VMFIN soll) (NP (PIAT kein) (NN Mensch)) (VP (PP (APPR über) (ART einen) (ADJA anderen)) (VVINF bestimmen))) ($. .),True
Und es darf keine Hierarchie geben.,(S (KON Und) (PPER es) (VMFIN darf) (VP (NP (PIAT keine) (NN Hierarchie)) (VVINF geben))) ($. .),True
Keinen Menschen darf man zu etwas zwingen.,(S (NP (PIAT Keinen) (NN Menschen)) (VMFIN darf) (PIS man) (VP (PP (APPR zu) (PIS etwas)) (VVINF zwingen))) ($. .),True
Dadurch soll es keine Unterdrückung geben.,(S (PROAV Dadurch) (VMFIN soll) (PPER es) (VP (NP (PIAT keine) (NN Unterdrückung)) (VVINF geben))) ($. .),True
Im Anarchismus sind diese Sachen für die Menschen besonders wichtig: • Freiheit,(S (PP (APPRART Im) (NN Anarchismus)) (VAFIN sind) (NP (PDAT diese) (NN Sachen)) (PP (APPR für) (ART die) (NN Menschen)) (AP (ADV besonders) (ADJD wichtig))) ($. :),True
Im Anarchismus sind diese Sachen für die Menschen besonders wichtig: • Selbstbestimmung,(S (PP (APPRART Im) (NN Anarchismus)) (VAFIN sind) (NP (PDAT diese) (NN Sachen)) (PP (APPR für) (ART die) (NN Menschen)) (AP (ADV besonders) (ADJD wichtig))) ($. :),True
Im Anarchismus sind diese Sachen für die Menschen besonders wichtig: • Gleichberechtigung,(S (PP (APPRART Im) (NN Anarchismus)) (VAFIN sind) (NP (PDAT diese) (NN Sachen)) (PP (APPR für) (ART die) (NN Menschen)) (AP (ADV besonders) (ADJD wichtig))) ($. :),True
Im Anarchismus sind diese Sachen für die Menschen besonders wichtig: • Selbstverwirklichung,(S (PP (APPRART Im) (NN Anarchismus)) (VAFIN sind) (NP (PDAT diese) (NN Sachen)) (PP (APPR für) (ART die) (NN Menschen)) (AP (ADV besonders) (ADJD wichtig))) ($. :),True
Im Anarchismus sind diese Sachen für die Menschen besonders wichtig: • selber Sachen zu machen und zu kontrollieren,(S (PP (APPRART Im) (NN Anarchismus)) (VAFIN sind) (NP (PDAT diese) (NN Sachen)) (PP (APPR für) (ART die) (NN Menschen)) (AP (ADV besonders) (ADJD wichtig))) ($. :),True
Im Anarchismus sind diese Sachen für die Menschen besonders wichtig: • Gewaltlosigkeit,(S (PP (APPRART Im) (NN Anarchismus)) (VAFIN sind) (NP (PDAT diese) (NN Sachen)) (PP (APPR für) (ART die) (NN Menschen)) (AP (ADV besonders) (ADJD wichtig))) ($. :),True
Im Anarchismus sind diese Sachen für die Menschen besonders wichtig: • einzelne Menschen sollen keine Macht haben,(S (PP (APPRART Im) (NN Anarchismus)) (VAFIN sind) (NP (PDAT diese) (NN Sachen)) (PP (APPR für) (ART die) (NN Menschen)) (AP (ADV besonders) (ADJD wichtig))) ($. :),True
Im Anarchismus gibt es viele Gruppen und Gemeinschaften.,(S (PP (APPRART Im) (NN Anarchismus)) (VVFIN gibt) (PPER es) (NP (PIAT viele) (CNP (NN Gruppen) (KON und) (NN Gemeinschaften)))) ($. .),True
Sehr oft haben sie ihre eigenen Zeichen.,(S (AVP (ADV Sehr) (ADV oft)) (VAFIN haben) (PPER sie) (NP (PPOSAT ihre) (ADJA eigenen) (NN Zeichen))) ($. .),True
Eine Idee wie Menschen zusammen-leben können.,(ART Eine) (NN Idee) (S (PWAV wie) (NN Menschen) (VP (VVINF zusammen-leben)) (VMFIN können)) ($. .),True
Beim Anarchismus gibt es keine großen Chefs.,(S (PP (APPRART Beim) (NN Anarchismus)) (VVFIN gibt) (PPER es) (NP (PIAT keine) (ADJA großen) (NN Chefs))) ($. .),True
"Das heißt, \newline es gibt keine Chefs die etwas bestimmen.","(S (PDS Das) (VVFIN heißt)) ($, ,) (NE \newline)",True
Niemand hat alleine das Sagen.,(S (PIS Niemand) (VAFIN hat) (ADV alleine) (NP (ART das) (NN Sagen))) ($. .),True
Alle Menschen bestimmen beim Anarchismus mit.,(S (NP (PIAT Alle) (NN Menschen)) (VVFIN bestimmen) (PP (APPRART beim) (NN Anarchismus)) (PTKVZ mit)) ($. .),True
Das Gegenteil von anerkennen ist:  \newline aberkennen \newline  \newline Das Wort anerkennen ist ein Verb.,(S (NP (ART Das) (NN Gegenteil) (PP (APPR von) (ADJA anerkennen))) (VAFIN ist)) ($. :) ($.  ) (FM \newline) (VVFIN aberkennen),True
Beim anerkennen gibt man seine Zustimmung zu etwas.,(S (PP (APPRART Beim) (NN anerkennen)) (VVFIN gibt) (PIS man) (NP (PPOSAT seine) (NN Zustimmung) (PP (APPR zu) (PIS etwas)))) ($. .),True
Angela Merkel wurde am 17. Juli 1954 in Hamburg geboren.,(S (PN (NE Angela) (NE Merkel)) (VAFIN wurde) (VP (PP (APPRART am) (ADJA 17.) (NN Juli) (CARD 1954)) (PP (APPR in) (NE Hamburg)) (VVPP geboren))) ($. .),True
Ihr Mädchenname ist damals Kasner gewesen \newline Ihr ganzer Name ist Angela Dorothea Merkel.,(S (NP (PPOSAT Ihr) (NN Mädchenname)) (VAFIN ist) (ADV damals) (NN Kasner) (VAPP gewesen) (NE \newline)),True
Im Jahr 1990 ist Angela Merkel Mitglied im Deutschen Bundestag geworden.,(S (PP (APPRART Im) (NN Jahr) (CARD 1990)) (VAFIN ist) (PN (NE Angela) (NE Merkel)) (VP (NP (NN Mitglied) (PP (APPRART im) (PN (NP (ADJA Deutschen) (NN Bundestag))))) (VAPP geworden))) ($. .),True
Und sie ist gleichzeitig Mitglied bei der Partei CDU geworden.,(S (KON Und) (PPER sie) (VAFIN ist) (VP (ADJD gleichzeitig) (NP (NN Mitglied) (PP (APPR bei) (ART der) (NN Partei) (NE CDU))) (VAPP geworden))) ($. .),True
Angela Merkel war 18 Jahre lang die Chefin von der CDU. \newline Vom Jahr 2000 bis zum Jahr 2018. \newline Angela Merkel war 16 Jahre lang Bundes-kanzlerin.,(S (PN (NE Angela) (NE Merkel)) (VAFIN war) (AP (NP (CARD 18) (NN Jahre)) (ADJD lang)) (NP (ART die) (NN Chefin) (PP (APPR von) (ART der) (NE CDU)))) ($. .),True
Vom Jahr 2005 bis zum Jahr 2021. \newline  \newline Angela Merkel ist 165 Zentimeter groß.,(PP (APPRART Vom) (NN Jahr) (CARD 2005)) (APPR bis) (APPRART zum) (NN Jahr) ($. 2021.),False
Ihre Haar-farbe ist braun.,(S (NP (PPOSAT Ihre) (NN Haar-farbe)) (VAFIN ist) (ADJD braun)) ($. .),True
Angela Merkel ist eine Politikerin.,(S (PN (NE Angela) (NE Merkel)) (VAFIN ist) (NP (ART eine) (NN Politikerin))) ($. .),True
Sie ist in der Partei CDU.   \newline Angela Merkel war Bundeskanzlerin von Deutschland.,(S (PPER Sie) (VAFIN ist) (PP (APPR in) (ART der) (NN Partei) (NE CDU))) ($. .),True
Vom 22. November 2005 bis zum 8. Dezember 2021.,(PP (APPRART Vom) (ADJA 22.) (NN November) (CARD 2005)) (APPR bis) (APPRART zum) (ADJA 8.) (NN Dezember) ($. 2021.),False
Fische kann man mit einer Angel fangen.,(S (NN Fische) (VMFIN kann) (PIS man) (VP (PP (APPR mit) (ART einer) (NN Angel)) (VVINF fangen))) ($. .),True
Eine Angel ist eine Schnur mit einem haken.,(S (NP (ART Eine) (NN Angel)) (VAFIN ist) (NP (ART eine) (NN Schnur) (PP (APPR mit) (ART einem) (NN haken)))) ($. .),True
Man braucht auch einen Köder.,(S (PIS Man) (VVFIN braucht) (ADV auch) (NP (ART einen) (NN Köder))) ($. .),True
Der kommt an den Haken.,(S (PDS Der) (VVFIN kommt) (PP (APPR an) (ART den) (NN Haken))) ($. .),True
Damit lockt man die Fische an.,(S (PROAV Damit) (VVFIN lockt) (PIS man) (NP (ART die) (NN Fische)) (PTKVZ an)) ($. .),True
Es gibt verschiedene Arten zu angeln.,(S (PPER Es) (VVFIN gibt) (NP (ADJA verschiedene) (NN Arten) (VZ (PTKZU zu) (VVINF angeln)))) ($. .),True
Zum Beispiel: • Schlepp-angeln,(PP (APPRART Zum) (NN Beispiel)) ($. :) (XY •) (NN Schlepp-angeln),False
Zum Beispiel: • Fliegen-angeln,(PP (APPRART Zum) (NN Beispiel)) ($. :) (XY •) (VVINF Fliegen-angeln),False
Zum Beispiel: • Grund-angeln,(PP (APPRART Zum) (NN Beispiel)) ($. :) (XY •) (NN Grund-angeln),False
Zum Beispiel: • Meeres-angeln,(PP (APPRART Zum) (NN Beispiel)) ($. :) ($LRB •) (VVINF Meeres-angeln),False
Angeln heißt: \newline Fische mit einer Angel-rute fangen.,(S (NN Angeln) (VVFIN heißt)) ($. :) (VP (NP (ADJA \newline) (NN Fische)) (PP (APPR mit) (ART einer) (NN Angel-rute)) (VVINF fangen)) ($. .),True
Beispiel: \newline Der Preis für die Schuhe ist in Ordnung.,(NN Beispiel) ($. :) (NE \newline),False
Oder: \newline Der Preis für die Schuhe ist angemessen.,(DL (KON Oder)) ($. :) (NE \newline),False
Angle-zismus sind Wörter.,(S (NN Angle-zismus) (VAFIN sind) (NN Wörter)) ($. .),True
Die Wörter kommen aus der englischen Sprache.,(S (NP (ART Die) (NN Wörter)) (VVFIN kommen) (PP (APPR aus) (ART der) (ADJA englischen) (NN Sprache))) ($. .),True
Sie haben die gleiche Bedeutung.,(S (PPER Sie) (VAFIN haben) (NP (ART die) (ADJA gleiche) (NN Bedeutung))) ($. .),True
Genau wie die englischen Wörter.,(AVP (ADJD Genau) (NP (KOKOM wie) (ART die) (ADJA englischen) (NN Wörter))) ($. .),False
Angle-zismus ist eine Entlehnung.,(S (NN Angle-zismus) (VAFIN ist) (NP (ART eine) (NN Entlehnung))) ($. .),True
Wenn es viel Angli-zismus gibt sagt man dazu Denglisch.,(S (S (KOUS Wenn) (PPER es) (NP (PIAT viel) (NN Angli-zismus)) (VVFIN gibt)) (VVFIN sagt) (PIS man) (PROAV dazu) (NN Denglisch)) ($. .),True
Beim Anglizismus nimmt man englische Wörter.,(S (PP (APPRART Beim) (NN Anglizismus)) (VVFIN nimmt) (PIS man) (NP (ADJA englische) (NN Wörter))) ($. .),True
Man bringt die Wörter dann in eine andere Sprache.,(S (PIS Man) (VVFIN bringt) (NP (ART die) (NN Wörter)) (ADV dann) (PP (APPR in) (ART eine) (ADJA andere) (NN Sprache))) ($. .),True
Zum Beispiel von der englischen Sprache in die deutsche Sprache.,(S (PP (APPRART Zum) (NN Beispiel)) (PP (APPR von) (ART der) (ADJA englischen) (NN Sprache)) (PP (APPR in) (ART die) (ADJA deutsche) (NN Sprache))) ($. .),False
Der Angriff in der Stadt Las Vegas passiert.,(S (NP (ART Der) (NN Angriff)) (VP (PP (APPR in) (ART der) (NN Stadt) (PN (NE Las) (NE Vegas))) (VVPP passiert))) ($. .),True
Der Angriff ist ein Massaker gewesen.,(S (NP (ART Der) (NN Angriff)) (VAFIN ist) (VP (NP (ART ein) (NN Massaker)) (VAPP gewesen))) ($. .),True
Am Abend vom 1. Oktober hat der Angriff angefangen.,(S (PP (APPRART Am) (NN Abend) (PP (APPRART vom) (ADJA 1.) (NN Oktober))) (VAFIN hat) (NP (ART der) (NN Angriff)) (VP (VVPP angefangen))) ($. .),True
Der Angriff ist auf einem Country-Fest passiert.,(S (NP (ART Der) (NN Angriff)) (VAFIN ist) (VP (PP (APPR auf) (ART einem) (NN Country-Fest)) (VVPP passiert))) ($. .),True
Stephen Paddock hat auf die Menschen beim Fest geschossen.,(S (PN (NE Stephen) (NE Paddock)) (VAFIN hat) (VP (PP (APPR auf) (ART die) (NN Menschen)) (PP (APPRART beim) (NN Fest)) (VVPP geschossen))) ($. .),True
