sent-id,topic,phrase,num_statements,statement_spans,LLAMA predictions
29431,luiz-inacio-lula-da-silva,Danach tut sich Lula mit anderen Gewerkschaften zusammen.,1,,"[[0, 1, 2, 3, 4, 5]]"
29432,luiz-inacio-lula-da-silva,Am 10. Februar 1980 gründen sie eine neue Partei.,2,"[[0, 1, 2, 3], [4, 5, 7, 8]]","[[1, 2, 3, 4, 5]]"
29433,luiz-inacio-lula-da-silva,Die Partei heißt Partido dos Trabalhadores.,1,,"[[0, 1, 2, 3]]"
29435,luiz-inacio-lula-da-silva,Die Partei hat 400 Tausend Mitglieder.,1,,"[[0, 1, 2, 3, 4]]"
29436,luiz-inacio-lula-da-silva,Im Jahr 1986 ist Wahl in Brasilien.,1,,"[[0, 1, 2, 3, 4]]"
29437,luiz-inacio-lula-da-silva,Sehr viele Menschen wählen Lula.,1,,"[[1, 2, 3, 4]]"
29438,luiz-inacio-lula-da-silva,Lula wird in den Natrional-kongress gewählt.,1,,"[[0, 1, 2, 3, 4]]"
29439,luiz-inacio-lula-da-silva,Er vertritt Bundes-staat São Paulo.,1,,"[[1, 2]]"
29440,luiz-inacio-lula-da-silva,"Die Partei PT hilft mit, damit es eine neue Verfassung in Brasilien gibt.",2,"[[1, 2, 3, 4], [5, 6, 8, 9, 10, 11, 12]]","[[0, 1, 2, 3, 4, 5, 6], [7, 8, 9, 10, 11]]"
29441,luiz-inacio-lula-da-silva,Zum Beispiel: In der neuen Verfassung stehen viele Rechte für die Arbeiter.,2,"[[2, 5, 6, 7, 8, 9, 11], [4]]","[[1, 2, 3, 4, 5], [6, 7, 8, 9, 10]]"
29442,luiz-inacio-lula-da-silva,Im Jahr 1989 sind Wahlen in Brasilien.,1,,"[[0, 1, 2, 3, 4]]"
29443,luiz-inacio-lula-da-silva,Der Präsident soll gewählt werden.,1,,"[[0, 1, 2, 3]]"
29444,luiz-inacio-lula-da-silva,Lula will Präsident werden.,1,,"[[0, 1, 2, 3]]"
29445,luiz-inacio-lula-da-silva,Viele Leute in Brasilien finden Lula gut.,1,,"[[1, 2, 3, 4]]"
29446,luiz-inacio-lula-da-silva,Manche Leute sagen aber: \newline Lula ist ein Sozialist.,2,"[[0, 1, 2], [5, 6, 8]]","[[0, 1, 2], [3, 4, 5]]"
29447,luiz-inacio-lula-da-silva,Deswegen ist Lula schlecht für die Industrie \newline Und die Banken.,2,"[[4, 6], [10]]","[[0, 1, 2], [3, 4, 5]]"
29449,luiz-inacio-lula-da-silva,Lula wird nicht gewählt.,1,,"[[0, 1, 2]]"
29450,luiz-inacio-lula-da-silva,Im Jahr 2002 macht Lula wieder mit bei der Prösidenten-wahl.,2,"[[0, 1, 2], [3, 4, 5, 6, 7, 9]]","Based on the annotation guidelines, I analyzed the sentence:

""Im Jahr 2002 macht Lula wieder mit bei der Prösidenten-wahl.""

Here is the breakdown:

* ""Im Jahr 2002"" is a separate statement (date specification)
* ""macht Lula wieder mit bei der Prösidenten-wahl"" is another separate statement (main SVO combination)

Therefore, the sentence contains 2 statements.

The statement spans are:

[[0, 1], [2, 3, 4, 5, 6, 7]]

Here, the tokens are enumerated as follows:

0. Im
1. Jahr
2. 2002
3. macht
4. Lula
5. wieder
6. mit
7. bei
8. der
9. Prösidenten-wahl"
29451,luiz-inacio-lula-da-silva,Er zieht jetzt andere Kleider an.,1,,"[[0, 1, 2, 3, 4]]"
29452,luiz-inacio-lula-da-silva,Lula zieht einen Anzug und eine Krawatte an.,2,"[[3], [6]]","[[0, 1, 2, 3, 4, 5, 6]]"
29453,luiz-inacio-lula-da-silva,Er sagt: \newline  \newline Hunger und Armut müssen weg.,3,"[[0, 1], [5, 8, 9], [7, 8, 9]]","[[0, 1, 2], [3, 4, 5]]"
29454,luiz-inacio-lula-da-silva,Und die Menschen brauchen eine bessere Ausbildung.,2,"[[2, 3], [5]]","[[1, 2, 3, 4, 5]]"
29455,luiz-inacio-lula-da-silva,Am 27. Oktober 2002 wird Lula Präsident von Brasilien.,3,"[[0, 1, 2, 3], [4, 5, 6], [6, 7, 8]]","[[0, 1, 2, 3, 4, 5, 6]]"
29456,luiz-inacio-lula-da-silva,Und am 29. Oktober 2006 wird Lula wieder zum Präsidenten gewählt.,2,"[[1, 2, 3, 4], [5, 6, 7, 8, 9, 10]]","[[2, 3, 4, 5, 6, 7]]"
29457,luiz-inacio-lula-da-silva,In Brasilien gibt es eine Verfassung.,1,,"[[0, 1, 2, 3, 4]]"
29458,luiz-inacio-lula-da-silva,In der Verfassung steht: \newline Man darf nur 2 mal hintereinander Präsident sein.,3,"[[0, 2, 3], [5, 6, 7, 8, 11, 12], [8, 9, 10]]","Based on the annotation guidelines, I would annotate the sentence as follows:

 Sentence: In der Verfassung steht: \newline Man darf nur 2 mal hintereinander Präsident sein.

Number of statements: 2

Statement spans: [[0, 1, 2, 3], [5, 6, 7, 8, 9]]

Explanation:

* The sentence contains two statements: ""In der Verfassung steht"" and ""Man darf nur 2 mal hintereinander Präsident sein"".
* The first statement span includes tokens 0-3, which form the first statement.
* The second statement span includes tokens 5-9, which form the second statement.
* The newline token is ignored during annotation.
* The coordinating conjunction ""und"" is not included in the spans.
* The subordinating conjunction ""dass"" is not present in this sentence.
* The tokens that are contained in both statements (e.g., ""Man"") are not included in the annotations."
29459,luiz-inacio-lula-da-silva,Deswegen hat Lula bei der Wahl im Jahr 2010 nicht mit gemacht.,2,"[[0, 1, 2, 3, 5, 9, 10, 11], [6, 7, 8]]","[[0, 1, 2, 3, 4, 5, 6], [7, 8, 9, 10, 11]]"
29460,luiz-inacio-lula-da-silva,Die Wahl gewinnt Dilma Rousseff.,1,,"[[0, 1, 2]]"
29462,luiz-inacio-lula-da-silva,Seit dem 30. Oktober 2022 ist Lula wieder der Präsident von Brasilien.,3,"[[0, 2, 3, 4], [9], [10, 11]]","[[2, 3, 4, 5, 6, 7]]"
29463,luiz-inacio-lula-da-silva,Luiz Inácio Lula da Silva ist der Präsident von Brasilien.,2,"[[7], [8, 9]]","[[0, 1, 2, 3, 4, 5]]"
29464,luiz-inacio-lula-da-silva,Er ist seit dem 30. Oktober 2022 der Präsident.,1,,"[[2, 3, 4, 5], [6, 7]]"
29465,luiz-inacio-lula-da-silva,Er war schon einmal Präsident von Brasilien.,1,,"[[1, 2, 3, 4, 5]]"
29466,luiz-inacio-lula-da-silva,Das war vom 1. Januar 2003 bis zum 1. Januar 2011.,2,"[[2, 3, 4, 5], [6, 7, 8, 9, 10]]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]"
29467,lupe,Mit einer Lupe \newline sieht man Sachen größer.,1,,"[[0, 1], [2, 3, 4]]"
29468,lupe,Zum Beispiel kann man einen kleinen Text besser lesen.,2,"[[0, 1, 2, 3, 7, 8], [5]]","[[0, 1, 2, 3, 4, 5, 6]]"
29470,lupe,Es gibt auch Redewendungen mit dem Wort Lupe.,1,,"[[1, 2, 3, 4, 5]]"
29474,lupe,"Eine Lupe ist ein Glas, \newline das zum Ver-größern benutzt wird.",2,"[[1, 2, 4], [6, 7, 8, 9, 10]]","[[0, 1, 2], [3, 4, 5, 6]]"
29475,lupe,Zum Beispiel: \newline um einen Text größer zu sehen,2,"[[0, 1, 3, 5, 6, 7], [6]]","[[0, 2], [3, 4, 5]]"
29476,lurker,Das Wort Lurker sagt man im Internet oft als Schimpfwort.,2,"[[5, 6], [7, 8, 9]]","[[0, 1, 2, 3, 4, 5, 6, 7]]"
29477,lurker,"Ein Lurker nimmt, \newline aber gibt nichts.",2,"[[1, 2], [4, 5, 6]]","[[0, 1], [2, 3, 4]]"
29480,lurker,In einer Internet  Tauschbörse macht ein Lurker einen Download.,2,"[[0, 2, 4], [5, 7, 9]]","Based on the annotation guidelines, I analyzed the sentence:

""In einer Internet Tauschbörse macht ein Lurker einen Download.""

Here is the breakdown:

* ""In einer Internet Tauschbörse"" is a prepositional phrase specifying the location, which forms a separate statement.
* ""macht ein Lurker einen Download"" is the main SVO combination, which forms another statement.

Therefore, the sentence contains 2 statements.

The statement spans are: [[0, 1, 2, 3], [4, 5, 6]]

Here, tokens 0-3 (""In einer Internet Tauschbörse"") form one statement span, and tokens 4-6 (""macht ein Lurker einen Download"") form another statement span."
29481,lurker,Ein Luker macht in der Tauschbörse keinen Upload.,2,"[[1, 2, 6, 7], [3, 5]]","[[1, 2, 3, 4, 5]]"
29483,lurker,Ein Lurker liest in einem Wiki.,1,,"[[1, 2, 3, 4, 5]]"
29484,lurker,Ein Lurker schreibt selbst keine Artikel in einem Wiki.,2,"[[1, 2, 3, 4, 5], [6, 8]]","[[1, 2, 3, 4, 5]]"
29485,lurker,Lurker ist ein englisches Wort.,1,,"For the sentence ""Lurker ist ein englisches Wort."", I would annotate it as follows:

Number of statements: 2
Statement spans: [[0, 1], [2, 3]]

Explanation: The sentence contains two statements: ""Lurker ist"" and ""ein englisches Wort"". The first statement is a simple subject-verb combination, while the second statement provides additional information about the word ""Lurker""."
29486,lurker,Das Wort wird meistens im Internet benutzt.,1,,"[[0, 1, 2, 3, 4, 5]]"
29487,lurker,"Zum Beispiel sind damit Internetbenutzer gemeint, \newline die in einem Forum nur lesen und beobachten.",3,"[[0, 1, 2, 3, 5], [7, 8, 10, 11, 12], [7, 8, 10, 11, 14]]","[[0, 1, 2, 3, 4, 5, 6], [7, 8, 9, 10, 11, 12]]"
29488,lurker,Ein Lurker diskutiert nicht mit.,1,,"[[1, 2, 3]]"
29489,lurker,Ein Lurker bleibt lieber versteckt.,1,,"[[0, 1, 2]]"
29490,ma-getrank,In eine Maß passt 1 Liter Bier.,1,,"[[0, 1, 2, 3, 4]]"
29491,ma-getrank,Besonders bekannt ist die Maß beim Oktoberfest.,2,"[[0, 1, 2, 4], [5, 6]]","[[0, 1, 2, 3, 4, 5]]"
29492,ma-getrank,Eine Maß ist ein sehr großes Glas.,1,,"[[1, 2, 3, 4, 5]]"
29494,mac-os-x,Mac OS X gehört der Firma Apple.,1,,"[[0, 1, 2, 3]]"
29495,mac-os-x,Mac OS X ist ein Betriebssystem für den Computer.,2,"[[5], [6, 8]]","[[0, 1, 2, 3, 4, 5]]"
29496,mac-os-x,Es funktioniert nur auf Computern der Firma Apple.,1,,"[[0, 1, 2, 3, 4, 5]]"
29497,machthaber,Machthaber können auch mehrere Personen sein.,1,,"[[1, 2, 3, 4, 5]]"
29498,machthaber,Beispiele für Deutschland: \newline Der Bundeskanzler ist ein Machthaber.,1,,"Based on the annotation guidelines, I would annotate the sentence ""Beispiele für Deutschland: \newline Der Bundeskanzler ist ein Machthaber."" as follows:

Number of statements: 2

Statement spans: [[0, 1, 2], [4, 5, 6]]

Explanation:

* The sentence is split into two statements: ""Beispiele für Deutschland"" and ""Der Bundeskanzler ist ein Machthaber"".
* The first statement ""Beispiele für Deutschland"" is annotated as [[0, 1, 2]], where 0 is ""Beispiele"", 1 is ""für"", and 2 is ""Deutschland"".
* The second statement ""Der Bundeskanzler ist ein Machthaber"" is annotated as [[4, 5, 6]], where 4 is ""Der"", 5 is ""Bundeskanzler"", and 6 is ""ist ein Machthaber""."
29499,machthaber,Die Bundesregierung ist ein Machthaber.,1,,"[[0, 1]]"
29500,machthaber,Das Wort Machthaber ist nicht immer gut gemeint.,1,,"[[0, 1, 2, 3, 4, 5]]"
29501,machthaber,"Die meisten, die das Wort benutzen,  \newline meinen damit einen ""schlechten oder bösen Chef"".",4,"[[1, 8, 9, 14], [11], [13], [2, 4, 5]]","[[0, 1, 2, 3, 4, 5, 6], [7, 8, 9, 10, 11, 12]]"
29502,machthaber,"Ein Machthaber ist jemand, der die Macht hat, ein Chef.",2,"[[3, 4, 6, 7], [9]]","[[1, 2, 3], [5, 6]]"
29504,macht,Macht ist eine Fähigkeit von Menschen.,1,,"[[0, 1, 2, 3, 4, 5]]"
29505,macht,Ein Mensch mit Macht beeinflusst andere Menschen.,1,,"[[0, 1, 2, 3, 4, 5]]"
29506,macht,Macht ist manchmal gut und manchmal schlecht.,2,"[[2, 3], [5, 6]]","[[0, 1, 2], [3, 4, 5]]"
29507,macht,Das Wort benutzt man bei Politik.,1,,"[[0, 1, 2]]"
29508,macht,Menschen haben unterschiedlich viel Macht.,1,,"[[0, 1, 2]]"
29509,macke,Jeder Mensch hat eine Macke.,1,,"[[1, 2, 3, 4, 5]]"
29510,macke,"Eine Macke kann ein Tick sein, eine Eigenart oder eine Behinderung.",3,"[[4], [7], [10]]","[[1, 2], [3, 4, 5]]"
29511,macke,Viele Menschen haben die-selben Macken.,1,,"[[1, 2, 3, 4, 5]]"
29512,macke,Sie unterscheiden sich nicht besonders.,1,,"[[0, 1, 2, 3, 4]]"
29513,macke,Manche Menschen haben besondere Macken.,1,,"[[0, 1, 2, 3, 4]]"
29514,macke,Eine Macke macht jemand einzigartig.,1,,"[[1, 2, 3, 4, 5]]"
29515,macke,"Man kann jemand besonders mögen, weil er eine Macke hat.",2,"[[0, 1, 2, 3, 4], [5, 6, 8, 9]]","[[1, 2, 3, 4, 5], [6, 7, 8, 9, 10]]"
29516,macke,"Je mehr Menschen stolz sind auf ihre Macken,  \newline um so normaler wird es,  \newline eine Macke zu haben.",3,"[[0, 1, 2, 3, 4, 5, 6, 7], [10, 11, 12, 13, 14], [18, 19, 20]]","[[2, 3, 4], [5, 6, 7]]"
29517,macke,Eine Macke ist ein Kratzer oder eine Delle.,2,"[[4], [7]]","[[1, 2, 3, 4, 5]]"
29518,macke,Bei Menschen ist eine Macke eine Besonderheit.,1,,"[[0, 1, 2, 3, 4, 5]]"
29519,mac,Der Mac ist eine Art von Computer.,1,,"[[0, 1, 2, 3, 4]]"
29520,mac,"Das wird so gesprochen: ""Mäck"".",1,,"[[0, 1]]"
29521,mac,Die Firma Apple verkauft die Computer.,1,,"[[0, 1, 2, 3]]"
29522,madchenname,Eine Frau hat bei ihrer Geburt den gleichen Nach-namen wie ihre Eltern.,2,"[[1, 2, 7, 8, 9, 10, 11], [3, 4, 5]]","[[2, 3, 4, 5, 6], [7, 8, 9, 10, 11]]"
29523,madchenname,Später heiratet sie vielleicht einen Mann.,1,,"[[0, 1, 2, 3, 4]]"
29524,madchenname,Dann bekommt sie meistens den Nach-namen von ihrem Mann.,1,,"[[1, 2, 3, 4, 5, 6]]"
29525,madchenname,Ihr alter Nach-name ist dann ihr Mädchen-name.,1,,"[[1, 2, 3, 4, 5]]"
29526,madchenname,"Der Mädchen-name ist der Nach-name, den sie als Mädchen hatte.",2,"[[1, 2, 4], [5, 6, 7, 8, 9]]","[[1, 2, 3, 4], [5, 6, 7, 8]]"
29527,madchenname,Der Mädchen-name kann auch eine andere Bedeutung haben.,1,,"[[1, 2, 3, 4], [5, 6, 7, 8]]"
29528,madchenname,Manche meinen mit Mädchen-name einen weiblichen Vornamen.,1,,"[[1, 2], [3, 4, 5]]"
29529,madchenname,Der Mädchen-name ist der Nach-name von einer Frau.,2,"[[4], [5, 7]]","[[1, 2, 3], [5, 6, 7]]"
29530,madchenname,Bevor sie einen Mann heiratet.,1,,"Based on the annotation guidelines, I would annotate the sentence ""Bevor sie einen Mann heiratet."" as follows:

Number of statements: 2
Statement spans: [[0, 1], [2, 3, 4]]

Explanation:

* ""Bevor"" is a subordinating conjunction, which connects the main clause ""sie einen Mann heiratet"" with a subordinate clause. This forms a separate statement.
* ""sie einen Mann heiratet"" is the main clause, which forms another separate statement.

Note that the article ""einen"" is not included in the statement spans, as per the guidelines."
29531,madonna-kunstlerin,"Madonna wurde am 16. August 1958 in Bay City, USA geboren.",3,"[[2, 3, 4, 5], [6, 7, 8], [6, 9]]","[[2, 3, 4, 5, 6, 7]]"
29532,madonna-kunstlerin,Vom Jahr 1985 bis zum Jahr 1989 war sie mit Sean Penn verheiratet.,2,"[[0, 1, 2], [3, 4, 5, 6]]","[[0, 1, 2, 3, 4], [5, 6, 7, 8, 9]]"
29533,madonna-kunstlerin,Vom 2000 bis zum Jahr 2008 war sie mit Guy Ritchie verheiratet.,2,"[[0, 1], [2, 3, 4, 5]]","[[0, 1, 2, 3, 4, 5, 6], [7, 8, 9, 10, 11]]"
29534,madonna-kunstlerin,Zusammen mit Carlos Leon hat sie eine Tochter.,2,"[[0, 1, 2, 3], [4, 5, 7]]","[[0, 1, 2, 3, 4]]"
29535,madonna-kunstlerin,Sie ist am 14. Oktober 1996 geboren worden.,1,,"[[2, 3, 4, 5, 6]]"
29536,madonna-kunstlerin,Sie heißt: Lourdes Maria Ciccone Leon.,1,,"[[1, 2, 3, 4, 5]]"
29537,madonna-kunstlerin,Zusammen mit Guy Ritchie hat sie einen Sohn.,2,"[[0, 1, 2, 3], [4, 5, 7]]","[[0, 1, 2, 3, 4]]"
29538,madonna-kunstlerin,Er ist am 11. August 2000 geboren worden.,1,,"[[2, 3, 4, 5, 6]]"
29539,madonna-kunstlerin,Er heißt: Rocco John Ciccone Ritchie.,1,,"[[1, 2, 3, 4]]"
29540,madonna-kunstlerin,Außerdem hat Madonna 2 Kinder adoptiert.,1,,"[[1, 2, 3, 4, 5]]"
29541,madonna-kunstlerin,Die Kinder sind aus Malawi.,1,,"[[0, 1, 2, 3]]"
29542,madonna-kunstlerin,Madonna hat 300 Millionen Ton-träger verkauft.,1,,"[[0, 1, 2, 3, 4]]"
29543,madonna-kunstlerin,Das heißt: Madonna ist die erfolgreichste Sängerin der Welt.,1,,"[[2, 3, 4, 5], [6, 7, 8]]"
29544,madonna-kunstlerin,Seit dem Jahr 1983 gibt es Musik Alben von Madonna.,3,"[[0, 2, 3], [4, 5, 6, 7], [6, 7, 8, 9]]","[[0, 1, 2, 3, 4, 5, 6]]"
29545,madonna-kunstlerin,Alle Alben waren in den Charts.,1,,"According to the annotation guidelines, the sentence ""Alle Alben waren in den Charts."" contains 1 statement, so the output is: NONE"
29550,madonna-kunstlerin,Madonna ist auch Schauspielerin.,1,,"[[0, 1]]"
29551,madonna-kunstlerin,Sie hat in verschiedenen Filmen mitgespielt.,1,,"[[0, 1, 2, 3, 4]]"
29558,madonna-kunstlerin,Madonna ist auch Autorin.,1,,"[[0, 1]]"
29559,madonna-kunstlerin,Sie hat Kinder-bücher gemacht.,1,,"[[0, 1, 2, 3]]"
29563,madonna-kunstlerin,Madonna ist der Name für die Mutter Gottes im Christentum.,3,"[[0, 1], [4, 6, 7], [8, 9]]","[[0, 1, 2, 3, 4, 5, 6, 7]]"
29564,madonna-kunstlerin,Das war über sehr lange Zeit der einzige Gebrauch dieses Namens.,2,"[[0, 1, 7, 8, 9, 10], [2, 3, 4, 5]]","[[1, 2, 3, 4, 5, 6, 7, 8]]"
29565,madonna-kunstlerin,"Als eine Sängerin sich vor einigen Jahren so genannt hat, haben sich viele Christen sehr geärgert.",3,"[[0, 2, 3, 7, 8, 9], [4, 5, 6], [10, 11, 12, 13, 14, 15]]","[[2, 3, 4, 5, 6], [7, 8, 9, 10, 11]]"
29566,madonna-kunstlerin,Aber das hat die Sängerin nicht gestört.,1,,"[[0, 1, 2, 3, 4, 5]]"
29567,madonna-kunstlerin,Madonna ist eine Sängerin.,1,,"[[0, 1]]"
29568,madonna-kunstlerin,"Sie ist auch eine • Song-schreiberin,",1,,"[[1, 2]]"
29569,madonna-kunstlerin,"Sie ist auch eine • Schauspielerin,",1,,"[[1, 2]]"
29570,madonna-kunstlerin,"Sie ist auch eine • Autorin,",1,,"[[1, 2]]"
29571,madonna-kunstlerin,"Sie ist auch eine • Regisseurin,",1,,"[[1, 2]]"
29572,madonna-kunstlerin,Sie ist auch eine • Produzentin,1,,"[[0, 1, 2]]"
29573,madonna-kunstlerin,Sie ist auch eine • und Designerin.,1,,"[[1, 2]]"
29574,madonna-wortklarung,Madonna kann verschiedene Bedeutungen haben.,1,,"[[1, 2, 3, 4, 5]]"
29575,madonna-wortklarung," • Mit Madonna ist Maria, die Mutter von Jesus gemeint: Maria (Mutter Jesu)",4,"[[2, 3, 4, 5, 10], [6, 7, 8, 9], [11], [12, 13]]","[[0, 1, 2, 3, 4], [5, 6, 7]]"
29577,magenknurren,"Magenknurren kann zum Beispiel enstehen,  \newline wenn man einen leeren Magen hat.",2,"[[0, 1, 4], [7, 8, 10, 11, 12]]","[[0, 1, 2, 3, 4], [5, 6, 7, 8, 9]]"
29578,magenknurren,Also wenn wir Hunger haben.,1,,"[[0, 1, 2, 3, 4]]"
29579,magenknurren,Die Geräusche entstehen durch die leere Bewegung des Darms.,2,"[[1, 2, 3, 7, 8], [5]]","[[0, 1, 2, 3, 4, 5, 6]]"
29581,magenknurren,"Wenn Luft und Flüssigkeit bewegt werden, gibt es Geräusche.",3,"[[0, 1, 4, 5], [0, 3, 4, 5], [6, 7, 8]]","[[0, 1, 2, 3, 4, 5]]"
29582,magenknurren,Magenknurren ist ein Geräusch aus dem Bauch.,2,"[[0, 1, 3], [4, 6]]","[[0, 1, 2]]"
29583,maghreb,Die Maghreb-staaten sind in Afrika.,1,,"[[0, 1, 2, 3, 4]]"
29585,maghreb,Bei den Maghreb-staaten sind manche Sachen gleich.,1,,"[[0, 1, 2, 3, 4, 5, 6]]"
29586,maghreb,Zum Beispiel: • die Länder haben alle ein ähnliches Klima,1,,"[[1, 2, 3, 4, 5, 6]]"
29587,maghreb,Zum Beispiel: • die Länder liegen am Mittel-meer (außer Mauretanien),2,"[[4, 5, 6, 7], [8, 9]]","Based on the annotation guidelines, I analyzed the sentence:

""Zum Beispiel: • die Länder liegen am Mittel-meer (außer Mauretanien)""

Here is the breakdown:

* ""Zum Beispiel:"" is a filler word and doesn't form a separate statement.
* ""die Länder"" is the subject.
* ""liegen"" is the main verb.
* ""am Mittel-meer"" is a prepositional phrase specifying the location.
* ""(außer Mauretanien)"" is a parenthetical remark providing additional information.

According to the guidelines, the prepositional phrase ""am Mittel-meer"" forms a separate statement, and the parenthetical remark ""(außer Mauretanien)"" also forms a separate statement.

Therefore, the sentence contains 3 statements.

Here is the output in the required format:

[[2, 3, 4], [5, 6], [7, 8, 9]]

Where:

* [[2, 3, 4]] corresponds to the statement ""die Länder liegen""
* [[5, 6]] corresponds to the statement ""am Mittel-meer""
* [[7, 8, 9]] corresponds to the statement ""außer Mauretanien"""
29588,maghreb,Zum Beispiel: • in den Ländern sprechen die Menschen meistens Maghrebinisches Arabisch,1,,"[[1, 2, 3, 4, 5]]"
29589,maghreb,Zum Beispiel: • die Länder haben eine ähnliche Geschichte,1,,"[[1, 2, 3, 4, 5]]"
29597,maghreb,Mit Maghreb sind 3 Länder zusammen gemeint.,1,,"[[0, 1, 2, 3, 4]]"
29604,magnus-carlsen,Magnus Carlsen wurde am 30. November 1990 in geboren.,1,,"[[1, 2, 3, 4, 5]]"
29605,magnus-carlsen,"Das war in Tønsberg, Norwegen.",2,"[[3], [4]]","[[0, 1, 2, 3]]"
29606,magnus-carlsen,Magnus Carlsens Vater hat ihm die Spiel-regeln für Schach beigebracht.,1,,"[[0, 1, 2, 3, 4, 5, 6]]"
29607,magnus-carlsen,Da war Magnus Carlsen 5 Jahre alt.,1,,"[[1, 2, 3, 4, 5]]"
29608,magnus-carlsen,"Seit er 9 Jahre alt ist, \newline macht er bei Schach-Turnieren mit.",2,"[[0, 1, 2, 3, 4, 5], [7, 8, 9, 10, 11]]","[[0, 1, 2, 3, 4], [5, 6, 7]]"
29609,magnus-carlsen,Er hat den Titel: Schach-Großmeister.,1,,"[[1, 2, 3, 4]]"
29610,magnus-carlsen,Seit dem 22. November 2013 ist er Schachweltmeister.,2,"[[0, 2, 3, 4], [5, 6, 7]]","[[1, 2, 3, 4, 5]]"
29611,magnus-carlsen,Magnus Carlsen ist einer der besten Schachspieler der Welt.,1,,"[[0, 1, 2, 3, 4, 5, 6]]"
29612,magnus-carlsen,Für Schachspieler gibt es eine Weltrangliste.,1,,"[[0, 1, 2, 3, 4, 5]]"
29613,magnus-carlsen,Im Februar 2013 hatte er in dieser Liste 2872 Punkte.,3,"[[0, 1, 2], [3, 4, 8, 9], [5, 7]]","[[2, 3, 4, 5, 6]]"
29614,magnus-carlsen,So viele Punkte hat noch niemand vor ihm gehabt.,1,,"[[1, 2, 3, 4, 5, 6]]"
29615,magnus-carlsen,Bis dahin hatte Garri Kimowitsch Kasparow die meisten Punkte in der Liste.,1,,"[[0, 1, 2, 3, 4, 5, 6, 7]]"
29616,magnus-carlsen,Garri Kasparow hatte im Juli 1999 in dieser Liste 2851 Punkte.,3,"[[0, 1, 2, 9, 10], [3, 4, 5], [6, 7, 8]]","[[0, 1, 2, 3, 4, 5, 6], [7, 8, 9, 10, 11]]"
29617,magnus-carlsen,Magnus Carlsen ist auch ein Model.,1,,"[[1, 2, 3, 4]]"
29618,magnus-carlsen,Das heißt er arbeitet auch für die Kleider-Firma G-Star.,2,"[[7], [8]]","[[0, 1, 2, 3, 4, 5, 6, 7]]"
29619,magnus-carlsen,Er zieht die Kleider von der Firma an.,2,"[[0, 1, 7], [4, 6]]","[[0, 1, 2, 3, 4, 5]]"
29620,magnus-carlsen,"So können andere sehen, wie die Kleider aussehen.",2,"[[0, 1, 2, 3], [4, 6, 7]]","[[0, 1, 2, 3, 4, 5, 6, 7]]"
29621,magnus-carlsen,Magnus Carlsen ist ein Schach-spieler.,1,,"[[0, 1, 2]]"
29622,mahatma-gandhi,Mahatma Gandhi wurde am 2. Oktober 1869 geboren.,1,,"[[2, 3, 4, 5, 6]]"
29623,mahatma-gandhi,"Das war in Porbandar, Indien.",2,"[[3], [4]]","[[0, 1, 2, 3]]"
29624,mahatma-gandhi,Er ist gestorben.,1,,"[[0, 1, 2]]"
29626,mahatma-gandhi,Mahatma Gandhi war mit Kasturba Makthaji verheiratet.,1,,"[[1, 2, 3, 4, 5]]"
29627,mahatma-gandhi,Zusammen hatten sie 4 Kinder.,1,,"[[0, 1, 2, 3]]"
29628,mahatma-gandhi,Sein richtiger Name ist Mohandas Karamchand Gandhi.,1,,"[[1, 2, 3, 4, 5]]"
29630,mahatma-gandhi,Die meisten Leute sagen aber Mahatma Gandhi.,1,,"[[0, 1], [2, 3]]"
29631,mahatma-gandhi,Sanskrit ist eine indische Sprache.,1,,"[[0, 1, 2, 3]]"
29632,mahatma-gandhi,"In Sanskrit heißt Mahatma ""Große Seele"".",2,"[[0, 1, 2, 3], [4, 5]]","[[0, 2], [1, 3, 4]]"
29633,mahatma-gandhi,Nach der Schule ging Mahatma Gandhi nach Großbritannien.,2,"[[0, 2], [6, 7]]","[[0, 1, 2, 3, 4, 5]]"
29634,mahatma-gandhi,In Großbritannien hat er studiert.,1,,"[[0, 1, 2, 3, 4]]"
29635,mahatma-gandhi,Er hat das Fach Jura studiert.,1,,"[[0, 1, 2, 3, 4]]"
29636,mahatma-gandhi,Er wurde Rechts-anwalt.,1,,"[[0, 1]]"
29637,mahatma-gandhi,"Nach dem Studium, \newline ist er zurück nach Süd-afrika und nach Indien.",3,"[[0, 2], [4, 5, 6, 7, 8], [4, 5, 6, 10, 11]]","[[2, 3, 4, 5], [6, 7, 8, 9]]"
29638,mahatma-gandhi,Süd-afrika und Indien waren damals eine Kolonie von Großbritannien.,3,"[[0, 3, 4], [2, 3, 4], [7, 8]]","[[0, 1, 2, 3, 4, 5, 6, 7]]"
29639,mahatma-gandhi,Die Engländer haben die Gesetze in Indien gemacht.,2,"[[1, 2, 4, 7], [5, 6]]","[[0, 1, 2, 3, 4]]"
29640,mahatma-gandhi,Die Gesetze waren für viele Inder schlecht.,1,,"[[1, 2, 3, 4, 5]]"
29641,mahatma-gandhi,Die Gesetze waren ungerecht.,1,,"[[0, 1]]"
29642,mahatma-gandhi,Die Inder sind unterdrückt worden.,1,,"[[0, 1, 2, 3]]"
29643,mahatma-gandhi,Und sie sind ausgebeutet worden.,1,,"[[1, 2, 3, 4, 5]]"
